job_name,company_name,location,job_type,exp_level,exp_years
Data Analyst,Bnaia,Maadi,Full Time,Experienced,2 - 5 Yrs of Exp
Financial Data Analyst,ECC Group,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp
Manager - Data Intelligence Analyst,Almosafer,Mohandessin,Full Time,Manager,5 - 8 Yrs of Exp
Supply Chain Data Analyst,ZeroCarbon ,Cairo,Full Time,Experienced,2 - 3 Yrs of Exp
Senior Data Analyst,Mobility Pro DMCC,Azarita,Full Time,Experienced,5+ Yrs of Exp
Data Analyst,Venus Hiring,Toronto,Full Time,Entry Level,1 - 5 Yrs of Exp
Data Analyst,Confidential,Bourj Alarab,Full Time,Experienced,2 - 3 Yrs of Exp
Data Analyst,Confidential,New Cairo,Full Time,Experienced,2 - 5 Yrs of Exp
Data Analyst Manager,WUZZUF,Maadi,Full Time,Manager,7 - 15 Yrs of Exp
Data Analyst,London International Patient Services,Heliopolis,Full Time,Experienced,2 - 3 Yrs of Exp
Commercial Specialist ( Junior Data Analyst ),realme,Nasr City,Full Time,Entry Level,1+ Yrs of Exp
Junior Data Analyst,Confidential,Cairo,Full Time,Experienced,2 - 4 Yrs of Exp
Data Analyst,Dayra Market ,Maadi,Full Time,Experienced,1 - 7 Yrs of Exp
Senior Data Analyst,British University of Egypt,Shorouk City,Full Time,Experienced,5 - 7 Yrs of Exp
Data Analyst,Luminar,New Cairo,Full Time,Experienced,2 - 5 Yrs of Exp
Business Analyst,Elabd Foods,Abu Rawash,Full Time,Experienced,3 - 5 Yrs of Exp
Digital Technical Analyst,Xceed Contact Center,6th of October,Full Time,Experienced,1 - 5 Yrs of Exp
Financial Analyst ( Costing Background),Cairo Three A  for Agricultural and Animal Production,New Cairo,Full Time,Experienced,3 - 5 Yrs of Exp
Data Analyst/ Mailer,Options,Mohandessin,Full Time,Experienced,1 - 5 Yrs of Exp
Market Research Analyst,Confidential,Heliopolis,Full Time,Experienced,6 - 8 Yrs of Exp
Business Analyst,Babeleye,Maadi,Full Time,Experienced,2 - 4 Yrs of Exp
Financial Analyst,Confidential,Cairo,Full Time,Experienced,3 - 7 Yrs of Exp
Data Analyst,Al Ateeq Software,Heliopolis,Full Time,Experienced,5 - 9 Yrs of Exp
Customer & Market Knowledge Analyst,Alshaya,Cairo,Full Time,Manager,3 - 5 Yrs of Exp
Senior Business Analyst,Awazel,Sheraton,Full Time,Experienced,5 - 7 Yrs of Exp
Financial Analyst / Reporting,Go Bus,Katameya,Full Time,Experienced,3 - 5 Yrs of Exp
French Quality Analyst,Intouch CX ,Maadi,Full Time,Experienced,2 - 5 Yrs of Exp
Sales Planner / Analyst,National Glass,10th of Ramadan City,Full Time,Experienced,2 - 2 Yrs of Exp
Financial Analyst,Dwell Egypt,New Cairo,Full Time,Experienced,2+ Yrs of Exp
Data Analyst, Cairo Three A  Poultry ,New Cairo,Full Time,Experienced,2 - 3 Yrs of Exp
Business Analyst,Confidential,Dokki,Full Time,Experienced,1 - 7 Yrs of Exp
Operation Analyst,Etisal EG,New Cairo,Full Time,Experienced,2 - 3 Yrs of Exp
Mid-Level / Senior Business Analyst,GET Group- Egypt,Sheraton,Full Time,Experienced,3 - 8 Yrs of Exp
MIS Analyst,FlexFilms Egypt,6th of October,Full Time,Entry Level,0 - 3 Yrs of Exp
Financial Analyst,Confidential,Jazan,Full Time,Experienced,2 - 5 Yrs of Exp
Merchandising Analyst,le Voile  ,Nozha,Full Time,Experienced,3+ Yrs of Exp
Senior Cost Analyst,Nacita,6th of October,Full Time,Experienced,4 - 6 Yrs of Exp
Senior Risk Rating Analyst,FinBi Finance & Banking Consultants International,Dokki,Full Time,Experienced,5 - 7 Yrs of Exp
Financial Analyst,Confidential,Zamalek,Full Time,Experienced,3 - 5 Yrs of Exp
Junior Business Analyst,JRM for Communications,Nasr City,Full Time,Entry Level,1 - 2 Yrs of Exp
Financial Analyst/Intern,Intercap Capital ,Dokki,Internship,Entry Level,0 - 1 Yrs of Exp
Financial Analyst (Equities),Blue Ventures,Nasr City,Full Time,Experienced,5 - 7 Yrs of Exp
EDI analyst,Dora Management Solutions,Sheraton,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Financial FP & A Analyst,London International Patient Services,Heliopolis,Full Time,Experienced,3 - 5 Yrs of Exp
Data Analyst,Distributors for Nestlè dry,Qalyub,Part Time,Entry Level,1 - 3 Yrs of Exp
Senior Data Analyst,Tamweely,Downtown,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Actuarial Analyst – P&C,Allianz,New Cairo,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Real Estate Analyst – Land Valuation,Higher Ground Land Company,Cairo,Full Time,Entry Level,1+ Yrs of Exp
System Analyst,SellEnvo,Rotterdam,Full Time,Experienced,2+ Yrs of Exp
Software Business Analyst,Safa Soft,Maadi,Full Time,Experienced,3 - 5 Yrs of Exp
Financial Analyst,Ghataty,Cairo,Full Time,Experienced,3 - 5 Yrs of Exp
Credit Analyst,CXDA,Heliopolis,Full Time,Experienced,3+ Yrs of Exp
Business Analyst,BTC-Egypt Gold,Heliopolis,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Software Business Analyst - On-site,Microwize,Sheraton,Full Time,Experienced,5 - 8 Yrs of Exp
Sales Analyst,Alarabia Group,10th of Ramadan City,Full Time,Experienced,4 - 8 Yrs of Exp
ERP System Analyst (Full Stack),Xceed Contact Center,Maadi,Full Time,Entry Level,0 - 1 Yrs of Exp
Financial Analyst and Reporting,Bahna Engineering,Zamalek,Full Time,Experienced,3 - 7 Yrs of Exp
Junior Data Analyst,Etqan Consultancy,Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp
DATA ANALYTICS Manager ,Alshaya,Cairo,Full Time,Manager,2 - 5 Yrs of Exp
Senior Business Analyst,Youxel,Cairo,Full Time,Experienced,4+ Yrs of Exp
Reporting and Business Analyst,Chubb life Insurance,Katameya,Full Time,Experienced,2 - 5 Yrs of Exp
SOC Analyst,Al Ahly capital holding,Zamalek,Full Time,Entry Level,1 - 3 Yrs of Exp
Sales Analyst,Raw African,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp
SENIOR Manager - DATA ANALYTICS,Alshaya,Cairo,Full Time,Manager,4 - 6 Yrs of Exp
