job_name,company_name,location,job_type,exp_level,exp_years
Senior Data Scientist / Data Scientist – Data & AI Practice,BrickRed Technologies,Cairo,Full Time,Manager,7 - 10 Yrs of Exp
Senior Data Scientist,DOT Information Technology,New Cairo,Full Time,Experienced,4+ Yrs of Exp
Senior Data Scientist – Data & AI Practice,BrickRed Technologies ,New Cairo,Full Time,Experienced,8+ Yrs of Exp
Data Scientist,COB Solution ,Maadi,Full Time,Experienced,4 - 10 Yrs of Exp
"Data Scientist & AI Specialist (NLP, AI, Business Intelligence)",Copad Pharma ,Cairo,Full Time,Experienced,5+ Yrs of Exp
Senior Power BI Developer,BI-Technologies,New Cairo,Full Time,Experienced,2 - 5 Yrs of Exp
Data Scientist,Unlimiteck,Riyadh,Full Time,Not specified,IT/Software Development
Data Analyst,Confidential,New Cairo,Full Time,Experienced,2 - 5 Yrs of Exp
Sr. Data Engineer,BrickRed Technologies,Cairo,Full Time,Experienced,3 - 8 Yrs of Exp
Senior Data Engineer,Erada,Maadi,Full Time,Experienced,4 - 6 Yrs of Exp
AI Developer (Python),Ultimate Solutions Egypt,Sheikh Zayed,Full Time,Experienced,2 - 3 Yrs of Exp
Full Stack Developer,Cherwell Associates,Zamalek,Full Time,Experienced,4 - 7 Yrs of Exp
Python Backend Developer – AI & Chatbots,OTIC,New Cairo,Full Time,Experienced,2 - 4 Yrs of Exp
Full Stack Developer,TheFedexperience,New Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp
Data Engineer-,Master-Works,Riyadh,Full Time,Not specified,IT/Software Development
DevOps - MLOps,Rehabitaire,Maadi,Full Time,Experienced,2+ Yrs of Exp
Senior Full Stack ASP.NET Developer,Al Attiya Computer and Technology ,Hadayek Alkobba,Full Time,Experienced,5+ Yrs of Exp
Senior Full Stack Developer,iucon Egypt,Dokki,Full Time,Experienced,2 - 4 Yrs of Exp
Senior AI Engineer,Lumin,Sheikh Zayed,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Full Stack Developer,Biddex ,Heliopolis,Full Time,Experienced,5+ Yrs of Exp
DevOps & Cloud Infrastructure Lead,Copad Pharma ,Cairo,Full Time,Experienced,5+ Yrs of Exp
Senior Full stack Java developer,MTS-IT,Maadi,Full Time,Experienced,2 - 5 Yrs of Exp
Machine Learning Lead,WUZZUF,Maadi,Full Time,Manager,7 - 10 Yrs of Exp
Full Stack Developer,proleaders,Alexandria,Full Time,Experienced,5 - 10 Yrs of Exp
Full Stack Team Lead,Pyramids Pharmacy ,Sheikh Zayed,Full Time,Manager,4 - 10 Yrs of Exp
AI Developer,qTech. ,Mansoura,Full Time,Experienced,1 - 3 Yrs of Exp
