job_name,company_name,location,job_type,exp_level,exp_years
Python Backend Developer – AI & Chatbots,OTIC,New Cairo,Full Time,Experienced,2 - 4 Yrs of Exp
AI Developer (Python),Ultimate Solutions Egypt,Sheikh Zayed,Full Time,Experienced,2 - 3 Yrs of Exp
Python Automation Engineer,Luxoft (A DXC Technology Company),Cairo,Full Time,Experienced,3+ Yrs of Exp
Senior Python Automation Engineer,Luxoft (A DXC Technology Company),Cairo,Full Time,Experienced,5+ Yrs of Exp
Senior Python Developer,Softxpert Incorporation ,Bolkly,Full Time,Experienced,3+ Yrs of Exp
Senior ERP Developer,Milkys,Sheikh Zayed,Full Time,Experienced,4 - 6 Yrs of Exp
Full Stack Developer,Genie,Alsadat City,Full Time,Entry Level,0 - 5 Yrs of Exp
Full-Stack Developer (Front-End & Back-End),MIBA LLC,10th of Ramadan City,Full Time,Experienced,4 - 10 Yrs of Exp
Odoo Developer,Informatique Education,Cairo,Full Time,Experienced,3 - 5 Yrs of Exp
Full Stack Developer,orspra,Hadayek October,Full Time,Entry Level,1 - 5 Yrs of Exp
Django Developer,Rehabitaire,Maadi,Full Time,Experienced,3+ Yrs of Exp
Odoo Developer Intern (Technical Role),OdooTec,New Cairo,Internship,Entry Level,0 - 1 Yrs of Exp
Python Developer,CodeElectron,Giza,Full Time,Entry Level,1 - 4 Yrs of Exp
Backend Developer,WTDD,6th of October,Full Time,Experienced,2+ Yrs of Exp
Website Development / AI Developer,Avetti Commerce FZCO,Heliopolis,Full Time,Entry Level,1 - 2 Yrs of Exp
Software Developer,Nile University,Sheikh Zayed,Full Time,Experienced,1 - 3 Yrs of Exp
Frontend Developer,Next Byte Lab,Dubai,Full Time,Experienced,3 - 4 Yrs of Exp
Senior Python Developer,Lena,Cairo,Full Time,Experienced,2 - 6 Yrs of Exp
Data Engineer,COB Solution ,Maadi,Full Time,Entry Level,0 - 2 Yrs of Exp
Odoo Developer,TDS,Giza,Full Time,Experienced,3 - 5 Yrs of Exp
Full Stack Developer,Digital Plus Technology,Cairo,Full Time,Experienced,5+ Yrs of Exp
Application Support Engineer,etisal for advanced industries ,6th of October,Full Time,Entry Level,2 - 3 Yrs of Exp
Senior Devops Engineer,Seoudi Supermarket,Sheikh Zayed,Full Time,Experienced,5 - 7 Yrs of Exp
AI Odoo Developer Intern (Technical Role),OdooTec,New Cairo,Internship,Entry Level,0 - 1 Yrs of Exp
"Senior odoo Developer (Full-Time, Remote)",Centione,Nasr City,Full Time,Experienced,3 - 7 Yrs of Exp
Data Science Instructor,EpsilonAI,Nasr City,Full Time,Experienced,1+ Yrs of Exp
Software Business Developer,Gila Electric,Cairo,Full Time,Experienced,4 - 6 Yrs of Exp
DevOps - MLOps,Rehabitaire,Maadi,Full Time,Experienced,2+ Yrs of Exp
Senior Data Engineer,Erada,Maadi,Full Time,Experienced,4 - 6 Yrs of Exp
Junior QA Engineer,EXALT Technologies ,Sheraton,Full Time,Experienced,1 - 3 Yrs of Exp
Data Analyst,Luminar,New Cairo,Full Time,Experienced,2 - 5 Yrs of Exp
Business Analyst,Elabd Foods,Abu Rawash,Full Time,Experienced,3 - 5 Yrs of Exp
Computer Vision Engineer,Rehabitaire,Maadi,Full Time,Experienced,1+ Yrs of Exp
Senior Data Analyst,Mobility Pro DMCC,Azarita,Full Time,Experienced,5+ Yrs of Exp
ERPNext Implementation Consultant,Sourcya,Alexandria,Full Time,Experienced,3 - 5 Yrs of Exp
System Integration Engineer,Nullogic,Maadi,Internship,Student,Installation/Maintenance/Repair
Senior Cloud Solution Architect,EXALT Technologies ,Sheraton,Full Time,Experienced,5+ Yrs of Exp
IoT Engineer,HITS Solutions,Nasr City,Full Time,Experienced,1 - 3 Yrs of Exp
Tech Lead Data Engineering,HYVE Technology Consulting ,Nasr City,Full Time,Manager,6 - 11 Yrs of Exp
Manager - Data Intelligence Analyst,Almosafer,Mohandessin,Full Time,Manager,5 - 8 Yrs of Exp
Full Stack Developer,TryAladdin,Cairo,Full Time,Experienced,2 - 20 Yrs of Exp
Full Stack Developer,Dwell Egypt,New Cairo,Full Time,Experienced,3+ Yrs of Exp
Senior Linux System Administrator,TopLine ,Cairo,Full Time,Experienced,4+ Yrs of Exp
System Administrator Team Lead,ECC Group,Nasr City,Full Time,Manager,7 - 10 Yrs of Exp
UI/UX Designer & Senior Angular Developer,Sindion Technology Ltd,Riyadh,Full Time,Experienced,2 - 10 Yrs of Exp
Nocode Architect / AI Developer,Avetti Commerce FZCO,Heliopolis,Full Time,Entry Level,1 - 3 Yrs of Exp
Data Analyst Manager,WUZZUF,Maadi,Full Time,Manager,7 - 15 Yrs of Exp
Senior Odoo Developer,Confidential,Nasr City,Full Time,Experienced,7 - 10 Yrs of Exp
Senior GIS Developer,Syad Tech,Cairo,Full Time,Experienced,5 - 10 Yrs of Exp
Erpnext full stack developer,Confidential,Nasr City,Full Time,Experienced,3 - 7 Yrs of Exp
Data Analyst,Confidential,New Cairo,Full Time,Experienced,2 - 5 Yrs of Exp
Full-Stack Developer,Confidential,Cairo,Full Time,Experienced,2+ Yrs of Exp
Full Stack Developer,Cherwell Associates,Zamalek,Full Time,Experienced,4 - 7 Yrs of Exp
Data Analyst,London International Patient Services,Heliopolis,Full Time,Experienced,2 - 3 Yrs of Exp
Senior Linux System Admin (+3 years experience),3D Diagnostix,Maadi,Full Time,Experienced,3+ Yrs of Exp
Full Stack Developer,TheFedexperience,New Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp
Senior Odoo developer,Ejad,Dokki,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Data Scientist – Data & AI Practice,BrickRed Technologies ,New Cairo,Full Time,Experienced,8+ Yrs of Exp
Applications Developer,Egypt Foods,Giza,Full Time,Experienced,1 - 1 Yrs of Exp
Senior Backend Engineer - Java & SpringBoot,Confidential,Cairo,Full Time,Experienced,5 - 7 Yrs of Exp
"Software Engineer (React js, Django)",Dexi,Dokki,Full Time,Experienced,2+ Yrs of Exp
Senior Full Stack Developer,My Business Care Team,Maadi,Full Time,Experienced,5 - 15 Yrs of Exp
Odoo Implementation Team Leader,Centione,Nasr City,Full Time,Manager,5 - 7 Yrs of Exp
Odoo Developer,Confidential,Cairo,Full Time,Experienced,2 - 4 Yrs of Exp
Senior Analytics Developer,Xceed Contact Center,Maadi,Full Time,Experienced,2 - 3 Yrs of Exp
Web & Mobile Apps Developer Expert,Cleopatra Hospitals Group,New Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp
Senior AI Developer,Xceed Contact Center,Maadi,Full Time,Experienced,2 - 3 Yrs of Exp
Senior AI Engineer,Lumin,Sheikh Zayed,Full Time,Experienced,3 - 5 Yrs of Exp
Full Stack Developer,Confidential,Riyadh,Full Time,Experienced,2 - 5 Yrs of Exp
RPA Senior Developer,Xceed Contact Center,Maadi,Full Time,Experienced,3 - 5 Yrs of Exp
DevOps Engineer,34ML,Heliopolis,Full Time,Entry Level,0 - 3 Yrs of Exp
AI/ML Developer Senior Supervisor,Xceed Contact Center,Maadi,Full Time,Manager,7 - 7 Yrs of Exp
Full Stack Developer,Bone Trax,Riyadh,Full Time,Experienced,3 - 4 Yrs of Exp
Senior Full Stack Developer,RMG,Cairo,Full Time,Experienced,3 - 6 Yrs of Exp
Senior Backend Developer - Django,Nexus Analytica,Shorouk City,Full Time,Experienced,4 - 6 Yrs of Exp
Full Stack Team Lead,Pyramids Pharmacy ,Sheikh Zayed,Full Time,Manager,4 - 10 Yrs of Exp
"Instructor for Kids, ages 7-17",CodeTreps,Mahta Alraml,Full Time,Entry Level,1 - 3 Yrs of Exp
Odoo Programmer.,RNCO Business Solutions,Riyadh,Full Time,Entry Level,1 - 3 Yrs of Exp
Senior Devops Engineer,Bevatel,Dokki,Full Time,Experienced,4 - 6 Yrs of Exp
Software engineer,ISST-FIBER OCEAN,Cairo,Full Time,Experienced,5 - 7 Yrs of Exp
Machine Learning Lead,WUZZUF,Maadi,Full Time,Manager,7 - 10 Yrs of Exp
Full Stack Developer ( web & mobile ),Dakkaken Group,Nasr City,Full Time,Senior Management,5+ Yrs of Exp
Senior Backend Developer,RocketDevs,Cairo,Full Time,Experienced,5+ Yrs of Exp
"Data Scientist & AI Specialist (NLP, AI, Business Intelligence)",Copad Pharma ,Cairo,Full Time,Experienced,5+ Yrs of Exp
Pen Tester- Cyber Security Engineer L1,Fixed Solutions,Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp
Assembly process Engineer,Groupe- Atlantic,10th of Ramadan City,Full Time,Experienced,1 - 2 Yrs of Exp
Senior Full stack Java developer,MTS-IT,Maadi,Full Time,Experienced,2 - 5 Yrs of Exp
Odoo Implementer,Smart Technology Solutions,Sheraton,Full Time,Experienced,3 - 5 Yrs of Exp
Software Engineer,Merx,Cairo,Full Time,Experienced,2+ Yrs of Exp
Senior Software Engineer,Confidential,Ain Shams,Full Time,Experienced,8 - 12 Yrs of Exp
Software Testing,Cubic Information Systems,New Cairo,Full Time,Experienced,2 - 4 Yrs of Exp
Data Scientist,Unlimiteck,Riyadh,Full Time,Not specified,IT/Software Development
Tech Lead,Rescounts,Cairo,Full Time,Manager,8 - 10 Yrs of Exp
AI & Data Trainee,Innovative Solutions,Riyadh,Full Time,Not specified,Creative/Design/Art
Data Engineer-,Master-Works,Riyadh,Full Time,Not specified,IT/Software Development
Business Analyst,Misr Elkheir Foundation,Mokattam,Full Time,Experienced,4 - 7 Yrs of Exp
Instructor,Confidential,Maadi,Part Time,Entry Level,1 - 2 Yrs of Exp
Software Developer- LLM,Fuzu Remote,Cairo,Freelance / Project,Experienced,2 - 7 Yrs of Exp
Odoo Developer,تكامل المتقدمه العقاريه بالرياض,Maadi,Full Time,Experienced,2 - 4 Yrs of Exp
AI and Machine Learning Engineer,Barkotel,Sheraton,Full Time,Entry Level,IT/Software Development
Full Stack Flutter Mobile Developer,Dakkaken Group,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp
Technical Support Engineer,Fuzu Remote,Cairo,Shift Based,Experienced,3 - 5 Yrs of Exp
AI Engineer – Arabic OCR Specialist,Epic Systems,Zamalek,Full Time,Experienced,1 - 3 Yrs of Exp
System Administrator,Egypt Best Properties,Giza,Full Time,Experienced,3 - 5 Yrs of Exp
DevOps Engineer,Bydotpy,Maadi,Full Time,Experienced,2 - 3 Yrs of Exp
Software Tech Lead,Fixed Solutions,Cairo,Full Time,Manager,10+ Yrs of Exp
Senior Software Quality Control Engineer,SURE International Technology,Nasr City,Full Time,Experienced,5 - 7 Yrs of Exp
Junior System Engineer,El-Amir Group,Nozha,Full Time,Experienced,2 - 4 Yrs of Exp
Software Tester / QA Engineer - Remote,Guestna,Riyadh,Full Time,Experienced,3 - 7 Yrs of Exp
GIS Technician,Citylogix ME,New Cairo,Full Time,Experienced,2 - 10 Yrs of Exp
Cloud DevOps/ Site Reliability Engineer,Synergia,Cairo,Full Time,Experienced,3 - 6 Yrs of Exp
"Senior Quality Control (QC) Engineer - (Hybrid in Maadi, Egypt)",Confidential,Maadi,Full Time,Experienced,4 - 7 Yrs of Exp
IT Technical Support (Work Will Be Allocated In Africa),Confidential,Cairo,Full Time,Experienced,5 - 15 Yrs of Exp
Odoo Business Analyst,Confidential,Riyadh,Full Time,Experienced,3 - 5 Yrs of Exp
Cyber Security Specialist,DOT Information Technology,Cairo,Full Time,Experienced,3+ Yrs of Exp
System Administrator,Sandah for micro finance,Mohandessin,Full Time,Experienced,1 - 3 Yrs of Exp
Senior Data Scientist / Data Scientist – Data & AI Practice,BrickRed Technologies,Cairo,Full Time,Manager,7 - 10 Yrs of Exp
Senior Data Scientist,DOT Information Technology,New Cairo,Full Time,Experienced,4+ Yrs of Exp
Senior IT Engineer,Confidential,6th of October,Full Time,Experienced,2 - 4 Yrs of Exp
Data Analyst,Dayra Market ,Maadi,Full Time,Experienced,1 - 7 Yrs of Exp
EDI analyst,Dora Management Solutions,Sheraton,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Application Support Engineer,Al Ahly Momkn for e-payment,Maadi,Full Time,Experienced,3 - 5 Yrs of Exp
DevOps & Cloud Infrastructure Lead,Copad Pharma ,Cairo,Full Time,Experienced,5+ Yrs of Exp
IT Operations Supervisor,Kasrawy Group,Abu Rawash,Full Time,Experienced,10 - 15 Yrs of Exp
Junior Data Analyst,Confidential,Cairo,Full Time,Experienced,2 - 4 Yrs of Exp
Market research specialist,forest-line,New Cairo,Full Time,Experienced,1 - 3 Yrs of Exp
Researcher (AI & Technology),Rehabitaire,Maadi,Full Time,Experienced,4+ Yrs of Exp
Data Scientist,COB Solution ,Maadi,Full Time,Experienced,4 - 10 Yrs of Exp
Technical Lead,AlNirvana Over the World,Nasr City,Full Time,Manager,5 - 10 Yrs of Exp
Devops Engineer,Data Science,Zamalek,Full Time,Experienced,7 - 10 Yrs of Exp
Google Ads Specialist/Campaign Manager,Confidential,Cairo,Full Time,Manager,2 - 10 Yrs of Exp
Data & AI Presales Consultant,Global Brands,New Cairo,Full Time,Experienced,5 - 7 Yrs of Exp
Machine Learning Engineer,Confidential,Cairo,Full Time,Entry Level,3 - 5 Yrs of Exp
UI/UX Designer (Desktop & Web Applications),Copad Pharma ,Cairo,Full Time,Experienced,3+ Yrs of Exp
Odoo System Business Analyst,Centione,Riyadh,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Data Analyst,Tamweely,Downtown,Full Time,Experienced,3 - 5 Yrs of Exp
Cloud Engineer,Confidential,Cairo,Full Time,Experienced,2 - 4 Yrs of Exp
Odoo Functional Consultant,Confidential,New Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp
