link,title,location,description,company_name
https://wuzzuf.net/internship/woPTqpa9WDRl-Data-Science-Software-Engineer-Intern-Seuqel-Solutions-Cairo-Egypt?o=1&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Science Software Engineer Intern,"Cairo, Egypt ",InternshipStudent · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Algorithms · Information Technology (IT) · Python · Software · Software Development · Software Engineering · Programming,Seuqel Solutions -
https://wuzzuf.net/jobs/p/jNlWAq0DOr9n-Data-Analyst---in-KSA-Ejada-Cairo-Egypt?o=2&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Analyst - in KSA,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Data Analysis · Data Analyst · Computer Science · SQL · Statistics,Ejada  -
https://wuzzuf.net/jobs/p/iE5XekbZZWbl-Senior-Decision-Data-Analyst-Nugttah-Cairo-Egypt?o=3&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Decision & Data Analyst,"Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Data Analysis · Data visualization · Data · Data Analyst,Nugttah -
https://wuzzuf.net/jobs/p/LVY7W6GraWPC-Senior-Data-Engineer-Global-Brands-Cairo-Egypt?o=4&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Data Engineer,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Azure · Agile · Computer Science · Data Analysis · Information Technology (IT) · Python · SQL · quality · Software Development,Global Brands -
https://wuzzuf.net/jobs/p/jZGlxztA7tIV-Data-Modeler---In-KSA-Ejada-Cairo-Egypt?o=5&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Modeler - In KSA,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · SQL Server · SQL · Modeling · Computer Science · Data Modeling · Microsoft SQL Server,Ejada  -
https://wuzzuf.net/jobs/p/C26QAehr65Rx-Data-Scientist-Analyst--Remote---Urgent-GetTechForce-com-Cairo-Egypt?o=6&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Scientist/ Analyst- Remote - Urgent,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · React · FullStack · backend · Computer Science · Agile · Development · Django,GetTechForce.com -
https://wuzzuf.net/jobs/p/EVzEDYkzxJg2-Data-Scientist-Giza-Egypt?o=7&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Scientist,"Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · data scientist · Engineering · Data · Information Technology (IT) · Python,Confidential -
https://wuzzuf.net/jobs/p/8MHaaeCAwJzU-Senior-Data-Scientist-Cairo-Egypt?o=8&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Data Scientist,"New Nozha, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · R&D/Science · Business Development · Analyst/Research · Analysis · Data Science · Information Technology (IT) · Engineering · Computer Science · Software Engineering · Software Development,Confidential -
https://wuzzuf.net/jobs/p/dQBEtUvciP43-Data-Management-Engineer-Ejada-Cairo-Egypt?o=9&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Management Engineer,"Cairo, Egypt ",Full TimeEntry Level · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Engineering,Ejada  -
https://wuzzuf.net/jobs/p/aiRSu9WV14YS-Data-Analyst-ITCan-Cairo-Egypt?o=10&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Analyst,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Analyst/Research · BI · Analysis · analytical · Computer Science · Data Analysis · Development · Engineering · Information Technology (IT) · Power BI,ITCan -
